source,author,content,language,polarity,sentiment,keyword_sentiment,keyword_score,categories,cluster
apple,Marina Ancher,Nice app to practice all languages:),en,0.55,positive,neutral,0,['user_experience'],2
apple,Nebilakkus,Goed spel,af,0.0,neutral,positive,1,['learning_effectiveness'],4
apple,Ezie boy 313,Heel leuk om talen mee te leren alleen weet niet precies wat ik met de diamanten moet en die XP maar echt een aanrader,nl,0.0,neutral,neutral,0,"['language_availability', 'learning_effectiveness', 'user_experience']",1
apple,Blonde haren,Ik vind Duolingo super handig voor de kinderen die Engels lastig vind net zo als ik echt gewoon ZO GAAF!!!!,nl,0.16666666666666666,positive,positive,1,"['language_availability', 'gamification']",0
apple,Snuf9,"Ik vond het eerst best wel moeilijk maar het gaat nu een stuk beter dan eerst
Dankje wel",nl,1.0,positive,neutral,0,['user_experience'],0
apple,Mirtoesh,"Sadly they have changed “hearts” (lives when you make mistakes) to a “battery” which runs out as time passes by. If you execute exercises correctly, the add some time to the battery. 
This is making me hurry the exercises, I don’t have time anymore to read the sentences out loud. It leads to me learning less then before. Also, the battery seems to run out faster when you make mistakes - or at least no time is added - leading to less time to practice another exercise. It takes a lot of the fun out of Duolingo, making you learn less and its a bit demotivating.",en,-0.1285714285714286,negative,neutral,0,"['lessons_content', 'gamification']",3
apple,@TOMMYBOYY_,no russian supported??,it,0.0,neutral,neutral,0,['general'],4
apple,Abuelalilly,Al een keer lid geweest voor een jaar. Het is verslavend en je leert super leuk. Het lukt mij alleen niet om een nieuw abonnement af te sluiten. Ga even uitzoeken wat ik verkeerd doe.,nl,0.3333333333333333,positive,positive,1,"['pricing', 'user_experience']",1
apple,Liss🤍🖤,Ik vindt het geweldig voor de monsieur die dit gemaakt heeft mijn Frans is echt opgestegen bedankt🤍🖤,nl,0.0,neutral,positive,1,['language_availability'],0
apple,Natalisa1208,Hele leuke manier om een taal te leren!!,nl,0.0,neutral,positive,1,"['language_availability', 'learning_effectiveness', 'user_experience']",4
apple,Rebelket,All those maintenance breaks really suck.,en,0.2,positive,neutral,0,['general'],4
apple,Kiraenboeska,Heel leerzaam en leuk om een vreemde taal te leren op deze manier. Het enige minpunt vind ik dat er geen uitleg over de grammatica is.,nl,0.0,neutral,neutral,0,"['language_availability', 'learning_effectiveness', 'user_experience']",1
apple,p0stduif,"The app itself is lovely, some inconsistencies here and there. But  let me start why two stars, if not one. The ads are attrocious, I am on a payment plan and yet I still get spammed for an upgrade. I payed to get rid of them and to support this app, but apparently they do not care about paying costumers. They only care about MORE money. It is an absolute disgrace, and do not even get me started about the constant lure to the app, easily 10 notifications on a day to start learning. You think only app notifications? Well think and look twice, they come in your mail too. An absolute disgrace and big disservice to the paying costumer.",en,0.1621212121212121,positive,neutral,0,['user_experience'],3
apple,Job2367,Het is een geweldig spel en ik kan nu makkelijk mijn talen oefen voor school,nl,0.0,neutral,positive,1,"['language_availability', 'user_experience']",0
apple,lady Mat,"Doe nu al een paar jaar duolingo om Frans te leren.
Vind de manier van les geven leuk, afwisselend en heel goed te doen.
Krijg complimenten van de Fransen dus het werkt echt!",nl,0.0,neutral,positive,2,"['language_availability', 'learning_effectiveness', 'lessons_content', 'user_experience', 'gamification']",4
apple,Noorabida,Leuk alleen ook stom over dat betalen Wrm niet gwn gratis leren nu moet ik wachten op me energie en met betalen niet ik wil gwn gratis goed kunnen leren,nl,0.0,neutral,positive,1,"['battery_issues', 'language_availability', 'app_performance', 'pricing', 'learning_effectiveness', 'user_experience']",4
apple,anoniem van tiktok,pleas Make the Hearts ggo back! Youre Quickly running out of energy and I can’t afford an subscription…,en,0.16666666666666666,positive,neutral,0,['general'],3
apple,Flippppie,Je kan van alles en het is superleuk en leerzaam!,nl,0.0,neutral,positive,2,"['learning_effectiveness', 'lessons_content', 'user_experience']",1
apple,hoooooói,Soms dan komt er voor dat ik het moet inspreken  en dan klik ik er op dat ik dat wil doen en dan kan ik het alsnog niks inspreken,af,0.0,neutral,neutral,0,['general'],0
apple,strebom,I reported a bug. A corrected mistake keeps coming back for the last 2 weeks. Also my XP number isn’t updated. I find it very weak that there is no helpdesk to talk to.,en,-0.1625,negative,neutral,0,"['app_performance', 'learning_effectiveness']",3
apple,Noud12345,Dit is echt de beste manier om talen te leren op een leuke en niet saaie manier,nl,0.0,neutral,neutral,0,"['language_availability', 'learning_effectiveness', 'user_experience']",4
apple,Nikita Mokum,Super leuk,fr,0.3333333333333333,positive,positive,2,['user_experience'],1
apple,Calle Terraza,Heel leerzaam en te begrijpen,nl,0.0,neutral,neutral,0,['learning_effectiveness'],1
apple,Floepielala,Vind een taal leren best leuk doen ze ook best leuk. Maar ze proberen je constant geld af te troggelen. 😔,nl,0.6666666666666666,positive,positive,1,"['language_availability', 'pricing', 'learning_effectiveness', 'user_experience']",1
apple,Gvihtrbvrfihbvihfe,I really liked Duolingo until today because I was on a perfect 3 week streak and I had not missed a day for 3 whole weeks and I had 150 days but today I don’t understand why but I have a 3 day streak,en,0.6,positive,positive,1,['gamification'],3
apple,Uppie4,Waarom kan ik alleen maar  in het Engels Duits leren? Alles staat in gesteld op Nederlands. Ik wil van Nederlands naar Duits.,nl,0.0,neutral,neutral,0,"['language_availability', 'learning_effectiveness', 'lessons_content']",0
apple,sophia🐰🙈,leuk om nieuwe talen te leren,af,0.0,neutral,positive,1,"['language_availability', 'learning_effectiveness', 'user_experience']",1
apple,verordeel,"Hi Duo, if the team sees this, could ya please suggest adding Papiamento and African to the app? I’d love to learn those languages!",en,0.3125,positive,neutral,0,"['user_experience', 'gamification']",3
apple,Hans Moonen,Leuke en leerzame app duimpje omhoog 👍🙀 leer nu Frans 🇫🇷 en muziek,nl,0.0,neutral,positive,1,"['language_availability', 'user_experience']",2
apple,VisPo,Het is best snel en goed om te leren maar soms doen de spreek ‘kaarten’ doen een beetje irritant en energie is te snel op maar ik kan een maand zonder omdat de gratis proef dat is wel fijn maar uiteindelijk wel een beetje duur. Maar verder dus wel super leuk en snel ( ik leer Frans),nl,0.6666666666666666,positive,positive,3,"['battery_issues', 'language_availability', 'pricing', 'learning_effectiveness', 'user_experience']",0
apple,CathyM82,Super leuke manier om vreemde talen te leren,af,0.3333333333333333,positive,positive,2,"['language_availability', 'learning_effectiveness', 'user_experience']",4
apple,DeGeChallende,Gaat heel gemakkelijk,nl,0.0,neutral,neutral,0,['user_experience'],4
apple,Yesjhwiwh,"Ik leer Duits en dat vind ik leuk , bitte!",af,0.0,neutral,positive,1,['user_experience'],0
apple,FrontmanVL16,Je begint met 25 en voor je het weet is die op 1 en dan moet je geld betalen,nl,0.0,neutral,neutral,0,"['language_availability', 'pricing']",4
apple,In0cencia,"It works okay. But the prices are crazy. Also girlfriend got charged for a year without a warning! Scam, watch out!",en,-0.21875,negative,neutral,0,['general'],3
apple,Catha645/catha262,Ik vind het heel leuk en ik leer ook heel veel ervan! Ik vind het wel jammer dat ik het niet kon overzetten naar mijn nieuwe iPhone en ik mijn reeks van 220 (van Catha645 naar catha262) opnieuw moet doen.,nl,0.0,neutral,negative,-1,['user_experience'],0
apple,Hw 92,The energy system rendered it useless,da,-0.5,negative,neutral,0,['lessons_content'],3
apple,Maffe donut,Het is irritant dat er nu batterijen zijn bijgekomen en als je op zijn kan je niet meer verder met leren dat is echt heel vervelend.dan zit je zo lekker spelen en dan is je batterij op van het spel dan kan je niet meer spelen en als je meer batterij wil dan moet je dat betalen,nl,0.0,neutral,negative,-3,"['battery_issues', 'language_availability', 'learning_effectiveness']",4
apple,😀😃😀😃😀😃😁😃,"Het helpt je enorm om een taal te leren, het heeft mij super goed Duits geleerd! Alleen is er na elke les reclame over steeds hetzelfde onderwerp.",nl,0.41666666666666663,positive,positive,3,"['language_availability', 'learning_effectiveness', 'lessons_content']",4
apple,fub ganer,Better than i expected. Nice teaching technique that focuses on your mistakes until you get them right. Impressive…must try,en,0.3214285714285714,positive,neutral,0,['general'],4
apple,Silvia Mèlange,"It’s impossible to do even a single lesson without ads. Never in my life have I seen any app take points away when your answer is correct 🤯 Adding the many grammar errors in multiple languages, wrong robot pronunciations, and the fact that by the time the ads are done, I forget which language I was supposed to be learning, you won’t convince me to pay for the full version. You are however, strongly pushing me to uninstall this parody of a language learning platform after almost 2000 days.. Bye, lingo!",en,0.0219387755102041,neutral,neutral,0,"['lessons_content', 'user_experience']",3
apple,⏰🎚️⏳🧭,Dev if you see this thanks for helping me Japan,en,0.2,positive,positive,1,['learning_effectiveness'],3
apple,Gebruiker@22,"I really like the app, because you can learn a language with small learning portions and varariety of reading, writeng and speaking. For me personally i would like less repetition.. or more personalised learning (many mistakes > more repetition , little miststakes> faster to the next level) and more positive caracters",en,0.16573691460055096,positive,neutral,0,"['lessons_content', 'user_experience']",3
apple,Jdgdjdbdc,Ik vind het een leuke app en het is ook leuk om het te spelen en in 2 dagen weet ik al heel veel dus ik zou het downloaden!!!,nl,0.0,neutral,positive,1,['user_experience'],0
apple,Vfcbiu,Omdat het geld kost vind ik het 4 sterren,nl,0.0,neutral,neutral,0,['pricing'],0
apple,Katseye454,Ik ben 12 jaar en ik leer heel makkelijk Spaans echt een aanrader,nl,0.0,neutral,neutral,0,"['language_availability', 'user_experience']",0
apple,Gigigigigigigokibdhicc,Hij is heel goed allen nu nog zorgen dat wat minder hoeft te betalen met diamanten die je verdiend voor de rest is het top,nl,0.5,positive,positive,1,"['language_availability', 'learning_effectiveness']",4
apple,Marijke85,Ik vind Duolingo heel leuk maar je moet superduolingo doen als je het even 10 min wil doen daardoor krijgt het van mij 4 sterren,nl,0.0,neutral,positive,2,"['user_experience', 'gamification']",0
apple,Sevhaa,De talen die je kunt leren vanuit Nederlands zijn vrij beperkt. Zouden jullie de taal Servisch kunnen toevoegen? Talen vanuit de Balkan.,nl,0.0,neutral,neutral,0,"['language_availability', 'learning_effectiveness']",4
apple,Lswsusan,These don’t work anymore. Also I would like to know when there is an update to German B3,en,0.0,neutral,neutral,0,['general'],3
apple,Kees koen park,Super leuk,fr,0.3333333333333333,positive,positive,2,['user_experience'],1
apple,Trins19,Makkelijk leren en prima hulp,nl,0.0,neutral,neutral,0,"['learning_effectiveness', 'user_experience']",4
apple,"1234446454342556),)$:,?7:,)","Hele fijne app, koreaans leren is nooit makkelijker geweest",nl,0.0,neutral,positive,1,"['learning_effectiveness', 'user_experience']",2
apple,Yra456,"Since the last updates the app got worse and worse. They keep rearranging everything;  Make it impossible to play for free;  and seem to have ditched some of their best features (like the one where you get dubbel XP in de evening if you’ve also played that morning, and dubbel XP in the morning when you’ve played the evening before).",en,-0.011111111111111146,neutral,neutral,0,['user_experience'],3
apple,Geweldig!! Site,"Ik liep achter met rekenen maar door Duolingo niet meer 

geweldig site.",nl,0.0,neutral,neutral,0,['gamification'],0
apple,Duolingo !!!!,Het is echt geweldig nu kan ik heel goed Engels leren Duolingo echt 5 stèren,nl,0.0,neutral,positive,2,"['language_availability', 'learning_effectiveness', 'gamification']",0
apple,Siennasalamat88,Jullie helpen kinderen met lessen en helpen kinderen heel goed liefs siennasalamat88,nl,0.0,neutral,positive,2,"['learning_effectiveness', 'lessons_content']",4
apple,Es te n,"Het gaat mij niet om het schrijven, maar om het leren spreken. De schrijfoefeningen zijn een enorm struikelblok waar ik over blijf vallen. Het irriteert me en zorgt ervoor dat ik echt veel minder plezier heb in de oefeningen. Als ik zie wat er goedgekeurd en afgekeurd wordt dan denk ik soms echt: pfff waar gaat dit over. Echt een tegenvaller.",nl,0.0,neutral,positive,1,"['learning_effectiveness', 'lessons_content', 'user_experience']",0
apple,RiksGewijs,Zit goed in elkaar. Jammer dat ik alleen in de late avond tijd heb en dus steeds meldingen heb dat ik mijn les moet doen om mijn reeks te houden.,nl,-0.3,negative,neutral,0,"['learning_effectiveness', 'lessons_content']",0
apple,Hé hmm,DIT IS SUPER GOED IK KON HIERVOOR GEEN PORTUGEES MAAR NU WEL EN IK WIST NIKS VAN SCHAKEN EN NU KAN IK MIJN HELE VRIENDENGROEP VERSLAAN alleen is de energie niet goed doe weer die hartjes,af,0.3333333333333333,positive,neutral,0,"['battery_issues', 'learning_effectiveness']",0
apple,Yusuf 234,De app is normaal goed maar de energie vind ik niet zo goed en al die dingen die ermee temaken hebben,nl,0.0,neutral,neutral,0,"['battery_issues', 'learning_effectiveness', 'user_experience']",0
apple,67fan67,Ik ben nu veel beter in Engels door Duolingo,nl,0.0,neutral,neutral,0,"['language_availability', 'gamification']",0
apple,Tectonicfan,Het is leuk alleen hoef je geen reclames ook al heb je geen super of max alleen is je energie soms op als je nog maar 1 vraag hoeft en dat is niet keukenartikelen verder wel doei,nl,0.3333333333333333,positive,neutral,0,"['battery_issues', 'user_experience']",4
apple,Elskeblom,"Opzich een leuke app. Ik kreeg de optie om een week gratis het abonnement uit te proberen. Er stond bij vermeld dat het abonnement automatisch zou stoppen en dat ik een melding zou krijgen wanneer de proefperiode voorbij was. Ik heb geen melding gehad en het abonnement is nu alsnog stilzwijgend verlengd waardoor ik ineens een rekening kreeg van €104?!?! Hopelijk krijg ik het geld terug van Apple, want Duolingo zelf is niet thuis aldus hun helpdesk.",nl,0.0,neutral,neutral,0,"['pricing', 'learning_effectiveness', 'user_experience', 'gamification']",0
apple,Tutfrut,De oefeningen zijn soms saai omdat ze te vaak worden herhaald. Het niveau van de gebruiker zou herkend kunnen worden waarna het niveau wordt aangepast of sneller wordt aangepast.,nl,0.0,neutral,neutral,0,"['learning_effectiveness', 'lessons_content']",4
apple,Shin-Di,Ok so it was a great app but then my phone broke and it just automatically saves my password as “password” so now I can’t log in and my 300 streak is gone plus the new energy is literally the dumbest and most irritating thing they ever made like u can’t even finish a lesson before ur energy runs out and then their gonna be all “get super duolingo for more energy” like I ain’t gonna buy it if u act like that besides I don’t think anybody even likes this energy idea,en,0.33852813852813857,positive,positive,1,"['lessons_content', 'user_experience', 'gamification']",3
apple,Ik ben nisa,Best goed   Je leerd er van❤️,nl,1.0,positive,positive,1,['learning_effectiveness'],4
apple,Sterre_eq,Ik kan deze app niet verwijdere,nl,0.0,neutral,negative,-1,['user_experience'],2
apple,Tejuuuuu22,Echt super leerzaam en een leuke manier om talen te leren👍🏽,nl,0.3333333333333333,positive,positive,2,"['language_availability', 'learning_effectiveness', 'user_experience']",4
apple,Welke bijnaam is al gekozen,Ik vind het wel een leuke app maar als je echt lang gaat leren verlies je batterij en moet je wachten tot de volgende dag. Daarnaast krijg je na elke les die je maakt een reclame spot. En ook een groot nadeel; je kan er niet offline mee leren. Ik vind het niet de moeite waard.,nl,0.0,neutral,neutral,0,"['battery_issues', 'app_performance', 'learning_effectiveness', 'lessons_content', 'user_experience']",0
apple,Kiki😍😍😍😍,10,unknown,0.0,neutral,neutral,0,['general'],4
apple,Hans Vermeer,I’m very glad I found this!,en,0.8125,positive,neutral,0,['general'],4
apple,kxelly,.,unknown,0.0,neutral,neutral,0,['general'],4
apple,Luckyellio,"Beter iets dan niets.
Maar na elke opdracht dat verkoop praatje.
Een week gratis.
Eigenlijk zou alles gratis moeten zijn dan snappen de mensen die het willen elkaar beter op de wereld",nl,0.0,neutral,negative,-1,"['pricing', 'lessons_content', 'user_experience']",4
apple,deannacho,"They continually update the app and it rearranges the menus every time so every week you’re trying to find the same things again. It’s superbly annoying and pointless. It forces you to spend more time in the app but not actually using any of it so it just makes it a frustrating experience

Also they like to update the language paths, which would be fine but instead of adding in the info you’re now past, based on the new levels, they just throw things in as if you learned them 10 lessons ago when they’re totally new, and teach things you previously learned and used for 20 lessons as if it’s a new word",en,-0.04507575757575758,neutral,positive,1,"['lessons_content', 'user_experience']",3
apple,Hooijtjes,"Waarom diamanten. XP , superduolingo etc. Ik wil gewoon oefenen en doorgaan",nl,0.0,neutral,positive,1,['gamification'],0
apple,Makkelijke app om te gebruiken,Leuke makkelijke manier om een andere taal te leren,nl,0.0,neutral,positive,1,"['language_availability', 'learning_effectiveness', 'user_experience']",4
apple,Zaza is cool,Het is best leuk maar je xp is soms te laag en dan kan je niet spelen,nl,1.0,positive,neutral,0,['user_experience'],1
apple,chantal sietsma,De vele herhalingen zijn fijn!,nl,0.0,neutral,positive,1,['user_experience'],4
