App Name,Rating (Google),Combined Rating,Total Ratings (Google),Total Ratings (All),Review Count (Dataset),Average Review Rating,Google Installs,Genre,Platform
English Grammar Test,4.7,4.7,138921,138921,29,4.9,10000000,Education,Google Only
Speak: Language Learning,4.7,4.7,96215,96215,5,3.8,5000000,Education,Google Only
Vocabulary - Learn words daily,4.7,4.7,89419,89419,9,3.56,1000000,Education,Google Only
Learn German with Seedlang,4.7,4.7,7160,7160,9,5.0,100000,Education,Google Only
Rewrite: Grammar Check,4.7,4.7,2541,2541,0,,50000,Productivity,Google Only
Flashcards World,4.68,4.68,78454,78454,36,4.61,5000000,Education,Google Only
Learn German for Beginners,4.68,4.68,11192,11192,2,4.0,500000,Education,Google Only
"Learn Dutch - 5,000 Phrases",4.68,4.68,1864,1864,39,4.69,100000,Education,Google Only
Busuu: Learn & Speak Languages,4.67,4.67,1040673,1040673,100,4.06,50000000,Education,Google Only
Gizmo: AI Flashcards and Tutor,4.67,4.67,86623,86623,28,4.61,1000000,Education,Google Only
Learn French for beginners,4.67,4.67,43079,43079,100,4.43,5000000,Education,Google Only
IELTS Exam Preparation: Vocabu,4.67,4.67,5010,5010,1,5.0,500000,Education,Google Only
Ling - Learn Dutch Language,4.67,4.67,1472,1472,8,4.5,50000,Education,Google Only
Nemo Dutch,4.67,4.67,742,742,1,3.0,50000,Education,Google Only
Learn French - Speak French,4.66,4.66,108726,108726,100,4.29,1000000,Education,Google Only
Pingo AI Language Learning,4.66,4.66,37774,37774,12,3.5,500000,Education,Google Only
RemNote - Notes & Flashcards,4.66,4.66,3689,3689,6,2.67,100000,Productivity,Google Only
"Learn English Vocabulary,Words",4.66,4.66,2676,2676,0,,500000,Education,Google Only
Vocabulary Builder - Test Prep,4.64,4.64,98312,98312,25,4.6,10000000,Education,Google Only
Learn Spanish with flashcards!,4.64,4.64,3219,3219,12,3.75,100000,Education,Google Only
Cogni: Study with Flashcards,4.64,4.64,2521,2521,1,4.0,100000,Education,Google Only
WordUp | AI Vocabulary Builder,4.63,4.63,182416,182416,31,4.16,5000000,Education,Google Only
GRE Vocabulary Flashcards,4.63,4.63,21288,21288,0,,1000000,Education,Google Only
Flashcard maker,4.63,4.63,9052,9052,21,4.43,100000,Tools,Google Only
Learn Dutch - Beginners,4.63,4.63,4807,4807,9,4.78,100000,Education,Google Only
Tobo: Learn Dutch Vocabulary,4.63,4.63,1657,1657,28,4.68,50000,Education,Google Only
Babbel - Learn Languages,4.62,4.62,1100550,1100550,100,3.07,50000000,Education,Google Only
"Rosetta Stone: Learn, Practice",4.62,4.62,400719,400719,100,4.02,10000000,Education,Google Only
DuoCards - Vocabulary Builder,4.61,4.61,48231,48231,47,4.17,1000000,Education,Google Only
"Learn English - 11,000 Words",4.6,4.6,245076,245076,100,4.49,10000000,Education,Google Only
Learn German - Speak German,4.6,4.6,143802,143802,100,4.13,1000000,Education,Google Only
Learn English. Speak English,4.6,4.6,104475,104475,100,4.32,1000000,Education,Google Only
Learn American English Easily,4.6,4.6,55900,55900,37,4.81,1000000,Education,Google Only
Airlearn - Language Learning,4.6,4.6,22311,22311,54,4.2,1000000,Education,Google Only
Ling – Language Learning App,4.6,4.6,21106,21106,41,4.15,1000000,Education,Google Only
Vocab: Learn English Words,4.6,4.6,1002,1002,0,,50000,Education,Google Only
Learn Dutch - Speak Dutch,4.59,4.59,29363,29363,100,4.69,500000,Education,Google Only
ELSA Speak: English Learning,4.58,4.58,952275,952275,52,3.73,10000000,Education,Google Only
"Learn English, Spanish: Learna",4.58,4.58,370367,370367,13,3.08,10000000,Education,Google Only
Learn Spanish. Speak Spanish,4.58,4.58,83548,83548,100,4.17,1000000,Education,Google Only
Learn German Daily with Readle,4.58,4.58,9967,9967,2,4.0,500000,Education,Google Only
English Grammar Tests,4.58,4.58,2916,2916,1,5.0,500000,Education,Google Only
Andy English Language Learning,4.57,4.57,162632,162632,23,4.83,1000000,Education,Google Only
ABC Flash Cards - Sight Words,4.57,4.57,2616,2616,0,,1000000,Education,Google Only
Spelling and Grammar,4.57,4.57,1788,1788,2,5.0,100000,Education,Google Only
Vocabulary flashcards: Vocabuo,4.57,4.57,334,334,2,5.0,10000,Education,Google Only
Drops: Learn German,4.56,4.56,65374,65374,57,4.51,1000000,Education,Google Only
Todaii: Learn German A1-C1,4.56,4.56,8303,8303,5,4.6,500000,Education,Google Only
French lessons - Frantastique,4.56,4.56,7101,7101,29,4.48,500000,Education,Google Only
Flashcards: Learn Languages,4.55,4.55,35575,35575,54,4.48,1000000,Education,Google Only
Mondly: Learn 41 Languages,4.54,4.54,917174,917174,100,3.37,10000000,Education,Google Only
Learn Spanish: Daily Readle,4.54,4.54,754,754,1,5.0,10000,Education,Google Only
Learn German - Beginners,4.53,4.53,14323,14323,2,5.0,1000000,Education,Google Only
English Grammar - Shaky,4.53,4.53,243,243,0,,10000,Education,Google Only
LanGeek | English Vocabulary,4.52,4.52,2459,2459,0,,100000,Education,Google Only
Learn German – Studycat,4.51,4.51,1081,1081,1,5.0,100000,Education,Google Only
Learn Dutch. Speak Dutch. Stud,4.5,4.5,306,306,3,5.0,50000,Education,Google Only
Grammar Check by AI Writing,4.49,4.49,21843,21843,1,4.0,1000000,Education,Google Only
Flashcards Deluxe,4.49,4.49,2367,2367,4,4.0,100000,Education,Google Only
English Grammar: Learn & Test,4.47,4.47,5027,5027,0,,500000,Education,Google Only
Memrise: Languages for life,4.46,4.46,1571537,1571537,100,3.31,10000000,Education,Google Only
LingoDeer - Learn Languages,4.46,4.46,445608,445608,100,4.11,10000000,Education,Google Only
Write Wise: AI Grammar Checker,4.46,4.46,567,567,0,,10000,Productivity,Google Only
Duolingo: Language Lessons,4.45,4.45,38998695,38998695,100,3.55,500000000,Education,Google Only
"Learn German - 5,000 Phrases",4.45,4.45,10692,10692,12,4.33,1000000,Education,Google Only
Learn French with Le Monde,4.45,4.45,7044,7044,11,3.91,1000000,Education,Google Only
Learn Spanish – Studycat,4.43,4.43,2495,2495,9,3.67,100000,Education,Google Only
Innovative Language Learning,4.4,4.4,41901,41901,83,4.3,1000000,Education,Google Only
Learn German Fast: Course,4.4,4.4,3572,3572,2,5.0,100000,Education,Google Only
Drops: Language Learning Games,4.38,4.38,307632,307632,100,3.63,10000000,Education,Google Only
"Learn French - 11,000 Words",4.38,4.38,40353,40353,100,4.48,1000000,Education,Google Only
Learn German for beginners,4.38,4.38,135,135,0,,10000,Education,Google Only
Drops: Learn Dutch,4.37,4.37,8178,8178,53,4.57,100000,Education,Google Only
"Vaia: Study, Notes, Flashcards",4.35,4.35,29210,29210,38,3.89,5000000,Education,Google Only
Learn French – Studycat,4.35,4.35,1397,1397,6,3.83,100000,Education,Google Only
"Dr French, French grammar",4.33,4.33,1301,1301,2,5.0,100000,Education,Google Only
Essential Vocabulary,4.31,4.31,771,771,0,,50000,Education,Google Only
Vocabulary & Grammar by Knudge,4.3,4.3,55397,55397,25,4.6,5000000,Education,Google Only
Learn French Daily with Readle,4.3,4.3,645,645,0,,10000,Education,Google Only
Dutch Listening & Speaking,4.3,4.3,557,557,14,4.79,10000,Education,Google Only
Lingokids - Play and Learn,4.29,4.29,199534,199534,76,3.29,50000000,Education,Google Only
Learn English with WSE,4.29,4.29,9324,9324,0,,100000,Education,Google Only
English Grammar PRO,4.29,4.29,596,596,0,,50000,Education,Google Only
"Learn Spanish - 11,000 Words",4.27,4.27,37305,37305,100,4.39,1000000,Education,Google Only
Toddler flashcards for kids,4.27,4.27,10479,10479,16,4.06,1000000,Educational,Google Only
"Learn Dutch - 11,000 Words",4.27,4.27,8804,8804,100,4.48,500000,Education,Google Only
Rozum — Learn new words daily,4.27,4.27,202,202,0,,10000,Education,Google Only
DW Learn German,4.25,4.25,9273,9273,4,4.0,1000000,Education,Google Only
Learn French Fast: Course,4.24,4.24,11223,11223,6,4.17,1000000,Education,Google Only
italki: learn any language,4.23,4.23,17175,17175,15,2.8,1000000,Education,Google Only
AlgoApp Flashcards,4.22,4.22,3960,3960,11,2.82,1000000,Education,Google Only
Learn Dutch with Flashcards!,4.22,4.22,125,125,1,5.0,10000,Education,Google Only
Grammarly-AI Writing Assistant,4.18,4.18,253867,253867,100,3.37,50000000,Productivity,Google Only
Simply Learn Dutch,4.18,4.18,648,648,5,5.0,100000,Travel & Local,Google Only
LearnEnglish Grammar,4.15,4.15,10721,10721,2,1.0,1000000,Education,Google Only
"Memorang: Flashcards, Test Pre",4.14,4.14,39,39,0,,5000,Education,Google Only
QuillBot - AI Writing Keyboard,4.08,4.08,17216,17216,3,4.67,5000000,Productivity,Google Only
Leitner Box Flashcards,4.06,4.06,141,141,0,,10000,Education,Google Only
LearnSpanish for Kids Game App,4.05,4.05,134,134,1,1.0,50000,Education,Google Only
3000 Most Common Dutch Words,4.0,4.0,99,99,2,5.0,5000,Education,Google Only
Vocab24: Hindu App & Editorial,3.95,3.95,65428,65428,0,,1000000,Education,Google Only
"Ginger Writer, Grammar Speller",3.95,3.95,953,953,0,,100000,Productivity,Google Only
PONS Vocabulary Trainer,3.94,3.94,5809,5809,4,3.75,1000000,Education,Google Only
LangLearn: Language learning,3.92,3.92,1719,1719,0,,100000,Education,Google Only
Learn Spanish Fast: Course,3.9,3.9,10321,10321,6,3.83,1000000,Education,Google Only
Vocabulary.com,3.82,3.82,934,934,0,,100000,Books & Reference,Google Only
Dutch For Kids And Beginners,3.78,3.78,485,485,1,4.0,10000,Education,Google Only
Noji: Study with Flashcards,3.75,3.75,24896,24896,8,3.38,1000000,Education,Google Only
Flashcards Maker,3.57,3.57,1348,1348,1,5.0,100000,Education,Google Only
HelloTalk - Learn Languages,3.5,3.5,222673,222673,100,3.63,10000000,Education,Google Only
AI Grammar Checker for English,3.46,3.46,31386,31386,2,5.0,1000000,Productivity,Google Only
Woor. English vocabulary,,,0,0,0,,10000,Education,Google Only
Dutch flashcards,,,0,0,2,5.0,5000,Education,Google Only
English Grammar by levels,,,0,0,0,,10000,Education,Google Only
Learn Dutch with LENGO,,,0,0,0,,5000,Education,Google Only
Grammarific: Dutch Grammar,,,0,0,1,5.0,1000,Education,Google Only
Learn Dutch With Amy for Kids,,,0,0,85,3.76,100000,Education,Google Only
English Grammar & Phonetics +,,,0,0,0,,500,Education,Google Only
English Vocabulary PRO,,,0,0,0,,10000,Education,Google Only
